997 root root 255 255 255 None None
577 Primary somatosensory area, upper limb, layer 4 SSp-ul4 24 128 100 None 369
625 Primary somatosensory area, upper limb, layer 5 SSp-ul5 24 128 100 None 369
945 Primary somatosensory area, upper limb, layer 6a SSp-ul6a 24 128 100 None 369
1026 Primary somatosensory area, upper limb, layer 6b SSp-ul6b 24 128 100 None 369
361 Primary somatosensory area, trunk SSp-tr 24 128 100 None 322
1006 Primary somatosensory area, trunk, layer 1 SSp-tr1 24 128 100 None 361
670 Primary somatosensory area, trunk, layer 2/3 SSp-tr2/3 24 128 100 None 361
1086 Primary somatosensory area, trunk, layer 4 SSp-tr4 24 128 100 None 361
1111 Primary somatosensory area, trunk, layer 5 SSp-tr5 24 128 100 None 361
9 Primary somatosensory area, trunk, layer 6a SSp-tr6a 24 128 100 None 361
461 Primary somatosensory area, trunk, layer 6b SSp-tr6b 24 128 100 None 361
182305689 Primary somatosensory area, unassigned SSp-un 24 128 100 None 322
182305693 Primary somatosensory area, unassigned, layer 1 SSp-un1 24 128 100 None 182305689
182305697 Primary somatosensory area, unassigned, layer 2/3 SSp-un2/3 24 128 100 None 182305689
182305701 Primary somatosensory area, unassigned, layer 4 SSp-un4 24 128 100 None 182305689
182305705 Primary somatosensory area, unassigned, layer 5 SSp-un5 24 128 100 None 182305689
182305709 Primary somatosensory area, unassigned, layer 6a SSp-un6a 24 128 100 None 182305689
182305713 Primary somatosensory area, unassigned, layer 6b SSp-un6b 24 128 100 None 182305689
378 Supplemental somatosensory area SSs 24 128 100 None 453
873 Supplemental somatosensory area, layer 1 SSs1 24 128 100 None 378
806 Supplemental somatosensory area, layer 2/3 SSs2/3 24 128 100 None 378
1035 Supplemental somatosensory area, layer 4 SSs4 24 128 100 None 378
1090 Supplemental somatosensory area, layer 5 SSs5 24 128 100 None 378
862 Supplemental somatosensory area, layer 6a SSs6a 24 128 100 None 378
893 Supplemental somatosensory area, layer 6b SSs6b 24 128 100 None 378
1057 Gustatory areas GU 0 156 117 None 315
36 Gustatory areas, layer 1 GU1 0 156 117 None 1057
180 Gustatory areas, layer 2/3 GU2/3 0 156 117 None 1057
148 Gustatory areas, layer 4 GU4 0 156 117 None 1057
187 Gustatory areas, layer 5 GU5 0 156 117 None 1057
638 Gustatory areas, layer 6a GU6a 0 156 117 None 1057
662 Gustatory areas, layer 6b GU6b 0 156 117 None 1057
677 Visceral area VISC 17 173 131 None 315
897 Visceral area, layer 1 VISC1 17 173 131 None 677
1106 Visceral area, layer 2/3 VISC2/3 17 173 131 None 677
1010 Visceral area, layer 4 VISC4 17 173 131 None 677
1058 Visceral area, layer 5 VISC5 17 173 131 None 677
857 Visceral area, layer 6a VISC6a 17 173 131 None 677
849 Visceral area, layer 6b VISC6b 17 173 131 None 677
247 Auditory areas AUD 1 147 153 None 315
1011 Dorsal auditory area AUDd 1 147 153 None 247
527 Dorsal auditory area, layer 1 AUDd1 1 147 153 None 1011
600 Dorsal auditory area, layer 2/3 AUDd2/3 1 147 153 None 1011
678 Dorsal auditory area, layer 4 AUDd4 1 147 153 None 1011
252 Dorsal auditory area, layer 5 AUDd5 1 147 153 None 1011
156 Dorsal auditory area, layer 6a AUDd6a 1 147 153 None 1011
243 Dorsal auditory area, layer 6b AUDd6b 1 147 153 None 1011
480149230 Laterolateral anterior visual area VISlla 1 147 153 None 1011
480149234 Laterolateral anterior visual area, layer 1 VISlla1 1 147 153 None 480149230
480149238 Laterolateral anterior visual area, layer 2/3 VISlla2/3 1 147 153 None 480149230
480149242 Laterolateral anterior visual area, layer 4 VISlla4 1 147 153 None 480149230
480149246 Laterolateral anterior visual area,layer 5 VISlla5 1 147 153 None 480149230
480149250 Laterolateral anterior visual area, layer 6a VISlla6a 1 147 153 None 480149230
